Nr;Gruppe;Bezeichnung;Jahr;Richtung;Status;Betrag
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2013;Ausgaben;Rechnungsergebnis;7076
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2013;Ausgaben;Rechnungsergebnis;1258
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2013;Ausgaben;Rechnungsergebnis;4031
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2013;Ausgaben;Rechnungsergebnis;10321
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2013;Ausgaben;Rechnungsergebnis;240067
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2013;Ausgaben;Rechnungsergebnis;137906
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2013;Ausgaben;Rechnungsergebnis;38272
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2013;Ausgaben;Rechnungsergebnis;155923
5630;Gesundheit, Sport, Erholung;Reithalle;2013;Ausgaben;Rechnungsergebnis;14342
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2013;Ausgaben;Rechnungsergebnis;38464
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2013;Ausgaben;Rechnungsergebnis;839
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2013;Ausgaben;Rechnungsergebnis;304169
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2013;Ausgaben;Rechnungsergebnis;261455
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2013;Ausgaben;Rechnungsergebnis;88839
5910;Gesundheit, Sport, Erholung;Campingplatz;2013;Ausgaben;Rechnungsergebnis;28664
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2013;Ausgaben;Rechnungsergebnis;62696
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2013;Ausgaben;Rechnungsergebnis;1430
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2013;Ausgaben;Rechnungsergebnis;9653
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2013;Ausgaben;Rechnungsergebnis;461804
6100;Bau- und Wohnungswesen, Verkehr;Stadtentwicklung;2013;Ausgaben;Rechnungsergebnis;0
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2013;Ausgaben;Rechnungsergebnis;142621
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2013;Ausgaben;Rechnungsergebnis;0
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2013;Ausgaben;Rechnungsergebnis;150367
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2013;Ausgaben;Rechnungsergebnis;12686
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2013;Ausgaben;Rechnungsergebnis;456486
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2013;Ausgaben;Rechnungsergebnis;8323
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2013;Ausgaben;Rechnungsergebnis;102240
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2013;Ausgaben;Rechnungsergebnis;167515
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2013;Ausgaben;Rechnungsergebnis;3959
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2013;Ausgaben;Rechnungsergebnis;19719
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2013;Ausgaben;Rechnungsergebnis;1280256
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2013;Ausgaben;Rechnungsergebnis;4425
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2013;Ausgaben;Rechnungsergebnis;339584
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2013;Ausgaben;Rechnungsergebnis;17365
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2013;Ausgaben;Rechnungsergebnis;0
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2013;Ausgaben;Rechnungsergebnis;1330892
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2013;Ausgaben;Rechnungsergebnis;512
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2013;Ausgaben;Rechnungsergebnis;8762
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2013;Ausgaben;Rechnungsergebnis;63928
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2013;Ausgaben;Rechnungsergebnis;33753
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2013;Ausgaben;Rechnungsergebnis;42509
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2013;Ausgaben;Rechnungsergebnis;0
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2013;Ausgaben;Rechnungsergebnis;0
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2013;Ausgaben;Rechnungsergebnis;163234
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2013;Ausgaben;Rechnungsergebnis;108247
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2013;Ausgaben;Rechnungsergebnis;135497
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2013;Ausgaben;Rechnungsergebnis;27940
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2013;Ausgaben;Rechnungsergebnis;6161108
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2013;Ausgaben;Rechnungsergebnis;2532296
10;Allgemeine Verwaltung;Gemeindeorgane;2014;Einnahmen;Rechnungsergebnis;72333
200;Allgemeine Verwaltung;Hauptverwaltung;2014;Einnahmen;Rechnungsergebnis;37849
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2014;Einnahmen;Rechnungsergebnis;45
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2014;Einnahmen;Rechnungsergebnis;179103
310;Allgemeine Verwaltung;Stadtkasse;2014;Einnahmen;Rechnungsergebnis;7500
500;Allgemeine Verwaltung;Standesamt;2014;Einnahmen;Rechnungsergebnis;14985
520;Allgemeine Verwaltung;Wahlen;2014;Einnahmen;Rechnungsergebnis;8504
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2014;Einnahmen;Rechnungsergebnis;9218
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2014;Einnahmen;Rechnungsergebnis;371
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2014;Einnahmen;Rechnungsergebnis;0
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2014;Einnahmen;Rechnungsergebnis;150017
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2014;Einnahmen;Rechnungsergebnis;10253
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2014;Einnahmen;Rechnungsergebnis;82403
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2014;Einnahmen;Rechnungsergebnis;0
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2014;Einnahmen;Rechnungsergebnis;23374
2111;Schulen;Goetheschute;2014;Einnahmen;Rechnungsergebnis;218
2112;Schulen;Hebelschule;2014;Einnahmen;Rechnungsergebnis;14765
2113;Schulen;Uhlandschule;2014;Einnahmen;Rechnungsergebnis;7071
2910;Schulen;Betreuungsangebote an Schulen;2014;Einnahmen;Rechnungsergebnis;213245
2920;Schulen;Randzeitenbetreuung;2014;Einnahmen;Rechnungsergebnis;35596
2950;Schulen;Sonstige schulische Aufgaben;2014;Einnahmen;Rechnungsergebnis;48634
2951;Schulen;Schulsozialarbeit;2014;Einnahmen;Rechnungsergebnis;16923
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2014;Einnahmen;Rechnungsergebnis;81570
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2014;Einnahmen;Rechnungsergebnis;0
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2014;Einnahmen;Rechnungsergebnis;0
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2014;Einnahmen;Rechnungsergebnis;12589
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2014;Einnahmen;Rechnungsergebnis;0
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2014;Einnahmen;Rechnungsergebnis;5700
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2014;Einnahmen;Rechnungsergebnis;0
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2014;Einnahmen;Rechnungsergebnis;1652
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2014;Einnahmen;Rechnungsergebnis;0
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2014;Einnahmen;Rechnungsergebnis;10800
4310;Soziale Sicherung;Seniorenbetreuung;2014;Einnahmen;Rechnungsergebnis;660
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2014;Einnahmen;Rechnungsergebnis;18517
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2014;Einnahmen;Rechnungsergebnis;22649
4510;Soziale Sicherung;Jugendarbeit;2014;Einnahmen;Rechnungsergebnis;9505
4600;Soziale Sicherung;Jugendzentrum;2014;Einnahmen;Rechnungsergebnis;11750
4640;Soziale Sicherung;Regenbogenland;2014;Einnahmen;Rechnungsergebnis;232950
4641;Soziale Sicherung;Kastanienkindergarten;2014;Einnahmen;Rechnungsergebnis;57500
4642;Soziale Sicherung;Förderung von Kindergärten;2014;Einnahmen;Rechnungsergebnis;954819
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2014;Einnahmen;Rechnungsergebnis;0
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2014;Einnahmen;Rechnungsergebnis;0
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2014;Einnahmen;Rechnungsergebnis;9167
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2014;Einnahmen;Rechnungsergebnis;7334
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2014;Einnahmen;Rechnungsergebnis;43747
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2014;Einnahmen;Rechnungsergebnis;36140
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2014;Einnahmen;Rechnungsergebnis;18536
5630;Gesundheit, Sport, Erholung;Reithalle;2014;Einnahmen;Rechnungsergebnis;15153
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2014;Einnahmen;Rechnungsergebnis;47790
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2014;Einnahmen;Rechnungsergebnis;1437
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2014;Einnahmen;Rechnungsergebnis;135671
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2014;Einnahmen;Rechnungsergebnis;106
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2014;Einnahmen;Rechnungsergebnis;0
5910;Gesundheit, Sport, Erholung;Campingplatz;2014;Einnahmen;Rechnungsergebnis;15350
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2014;Einnahmen;Rechnungsergebnis;79254
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2014;Einnahmen;Rechnungsergebnis;1136
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2014;Einnahmen;Rechnungsergebnis;14578
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2014;Einnahmen;Rechnungsergebnis;285560
6100;Bau- und Wohnungswesen, Verkehr;Stadtentwicklung;2014;Einnahmen;Rechnungsergebnis;0
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2014;Einnahmen;Rechnungsergebnis;0
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2014;Einnahmen;Rechnungsergebnis;0
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2014;Einnahmen;Rechnungsergebnis;104306
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2014;Einnahmen;Rechnungsergebnis;0
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2014;Einnahmen;Rechnungsergebnis;13717
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2014;Einnahmen;Rechnungsergebnis;0
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2014;Einnahmen;Rechnungsergebnis;0
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2014;Einnahmen;Rechnungsergebnis;0
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2014;Einnahmen;Rechnungsergebnis;1420
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2014;Einnahmen;Rechnungsergebnis;0
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2014;Einnahmen;Rechnungsergebnis;1293128
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2014;Einnahmen;Rechnungsergebnis;0
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2014;Einnahmen;Rechnungsergebnis;155210
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2014;Einnahmen;Rechnungsergebnis;30300
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2014;Einnahmen;Rechnungsergebnis;1554
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2014;Einnahmen;Rechnungsergebnis;1192567
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2014;Einnahmen;Rechnungsergebnis;4854
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2014;Einnahmen;Rechnungsergebnis;0
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2014;Einnahmen;Rechnungsergebnis;0
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2014;Einnahmen;Rechnungsergebnis;6679
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2014;Einnahmen;Rechnungsergebnis;26266
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2014;Einnahmen;Rechnungsergebnis;283645
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2014;Einnahmen;Rechnungsergebnis;18000
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2014;Einnahmen;Rechnungsergebnis;108455
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2014;Einnahmen;Rechnungsergebnis;105179
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2014;Einnahmen;Rechnungsergebnis;31333
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2014;Einnahmen;Rechnungsergebnis;66511
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2014;Einnahmen;Rechnungsergebnis;16178106
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2014;Einnahmen;Rechnungsergebnis;902851
10;Allgemeine Verwaltung;Gemeindeorgane;2014;Ausgaben;Rechnungsergebnis;448850
200;Allgemeine Verwaltung;Hauptverwaltung;2014;Ausgaben;Rechnungsergebnis;128359
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2014;Ausgaben;Rechnungsergebnis;40686
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2014;Ausgaben;Rechnungsergebnis;266857
310;Allgemeine Verwaltung;Stadtkasse;2014;Ausgaben;Rechnungsergebnis;72014
500;Allgemeine Verwaltung;Standesamt;2014;Ausgaben;Rechnungsergebnis;85704
520;Allgemeine Verwaltung;Wahlen;2014;Ausgaben;Rechnungsergebnis;26292
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2014;Ausgaben;Rechnungsergebnis;737305
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2014;Ausgaben;Rechnungsergebnis;126103
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2014;Ausgaben;Rechnungsergebnis;48954
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2014;Ausgaben;Rechnungsergebnis;415987
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2014;Ausgaben;Rechnungsergebnis;95389
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2014;Ausgaben;Rechnungsergebnis;134747
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2014;Ausgaben;Rechnungsergebnis;12781
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2014;Ausgaben;Rechnungsergebnis;165303
2111;Schulen;Goetheschute;2014;Ausgaben;Rechnungsergebnis;116452
2112;Schulen;Hebelschule;2014;Ausgaben;Rechnungsergebnis;132143
2113;Schulen;Uhlandschule;2014;Ausgaben;Rechnungsergebnis;145103
2910;Schulen;Betreuungsangebote an Schulen;2014;Ausgaben;Rechnungsergebnis;221582
2920;Schulen;Randzeitenbetreuung;2014;Ausgaben;Rechnungsergebnis;64841
2950;Schulen;Sonstige schulische Aufgaben;2014;Ausgaben;Rechnungsergebnis;271787
2951;Schulen;Schulsozialarbeit;2014;Ausgaben;Rechnungsergebnis;30000
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2014;Ausgaben;Rechnungsergebnis;148079
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2014;Ausgaben;Rechnungsergebnis;2547
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2014;Ausgaben;Rechnungsergebnis;46760
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2014;Ausgaben;Rechnungsergebnis;48127
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2014;Ausgaben;Rechnungsergebnis;18034
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2014;Ausgaben;Rechnungsergebnis;48537
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2014;Ausgaben;Rechnungsergebnis;12149
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2014;Ausgaben;Rechnungsergebnis;21823
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2014;Ausgaben;Rechnungsergebnis;1934
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2014;Ausgaben;Rechnungsergebnis;86470
4310;Soziale Sicherung;Seniorenbetreuung;2014;Ausgaben;Rechnungsergebnis;12143
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2014;Ausgaben;Rechnungsergebnis;41015
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2014;Ausgaben;Rechnungsergebnis;109254
4510;Soziale Sicherung;Jugendarbeit;2014;Ausgaben;Rechnungsergebnis;45759
4600;Soziale Sicherung;Jugendzentrum;2014;Ausgaben;Rechnungsergebnis;129171
4640;Soziale Sicherung;Regenbogenland;2014;Ausgaben;Rechnungsergebnis;1264692
4641;Soziale Sicherung;Kastanienkindergarten;2014;Ausgaben;Rechnungsergebnis;6164
4642;Soziale Sicherung;Förderung von Kindergärten;2014;Ausgaben;Rechnungsergebnis;1437481
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2014;Ausgaben;Rechnungsergebnis;2119
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2014;Ausgaben;Rechnungsergebnis;5736
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2014;Ausgaben;Rechnungsergebnis;11792
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2014;Ausgaben;Rechnungsergebnis;239803
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2014;Ausgaben;Rechnungsergebnis;154721
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2014;Ausgaben;Rechnungsergebnis;35071
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2014;Ausgaben;Rechnungsergebnis;123190
5630;Gesundheit, Sport, Erholung;Reithalle;2014;Ausgaben;Rechnungsergebnis;14575
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2014;Ausgaben;Rechnungsergebnis;42360
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2014;Ausgaben;Rechnungsergebnis;839
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2014;Ausgaben;Rechnungsergebnis;308994
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2014;Ausgaben;Rechnungsergebnis;236120
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2014;Ausgaben;Rechnungsergebnis;99982
5910;Gesundheit, Sport, Erholung;Campingplatz;2014;Ausgaben;Rechnungsergebnis;28764
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2014;Ausgaben;Rechnungsergebnis;86028
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2014;Ausgaben;Rechnungsergebnis;1430
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2014;Ausgaben;Rechnungsergebnis;7082
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2014;Ausgaben;Rechnungsergebnis;468129
6100;Bau- und Wohnungswesen, Verkehr;Stadtentwicklung;2014;Ausgaben;Rechnungsergebnis;0
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2014;Ausgaben;Rechnungsergebnis;208748
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2014;Ausgaben;Rechnungsergebnis;17115
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2014;Ausgaben;Rechnungsergebnis;157054
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2014;Ausgaben;Rechnungsergebnis;12548
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2014;Ausgaben;Rechnungsergebnis;481279
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2014;Ausgaben;Rechnungsergebnis;9065
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2014;Ausgaben;Rechnungsergebnis;160159
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2014;Ausgaben;Rechnungsergebnis;120141
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2014;Ausgaben;Rechnungsergebnis;2085
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2014;Ausgaben;Rechnungsergebnis;21581
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2014;Ausgaben;Rechnungsergebnis;1333642
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2014;Ausgaben;Rechnungsergebnis;4307
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2014;Ausgaben;Rechnungsergebnis;307064
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2014;Ausgaben;Rechnungsergebnis;23784
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2014;Ausgaben;Rechnungsergebnis;0
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2014;Ausgaben;Rechnungsergebnis;1192567
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2014;Ausgaben;Rechnungsergebnis;608
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2014;Ausgaben;Rechnungsergebnis;9092
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2014;Ausgaben;Rechnungsergebnis;66103
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2014;Ausgaben;Rechnungsergebnis;30270
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2014;Ausgaben;Rechnungsergebnis;100701
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2014;Ausgaben;Rechnungsergebnis;0
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2014;Ausgaben;Rechnungsergebnis;0
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2014;Ausgaben;Rechnungsergebnis;139147
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2014;Ausgaben;Rechnungsergebnis;124750
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2014;Ausgaben;Rechnungsergebnis;261473
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2014;Ausgaben;Rechnungsergebnis;47038
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2014;Ausgaben;Rechnungsergebnis;6795780
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2014;Ausgaben;Rechnungsergebnis;2827898
10;Allgemeine Verwaltung;Gemeindeorgane;2015;Einnahmen;Rechnungsergebnis;65080
200;Allgemeine Verwaltung;Hauptverwaltung;2015;Einnahmen;Rechnungsergebnis;45555
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2015;Einnahmen;Rechnungsergebnis;0
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2015;Einnahmen;Rechnungsergebnis;150826
310;Allgemeine Verwaltung;Stadtkasse;2015;Einnahmen;Rechnungsergebnis;11550
500;Allgemeine Verwaltung;Standesamt;2015;Einnahmen;Rechnungsergebnis;13973
520;Allgemeine Verwaltung;Wahlen;2015;Einnahmen;Rechnungsergebnis;0
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2015;Einnahmen;Rechnungsergebnis;9584
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2015;Einnahmen;Rechnungsergebnis;469
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2015;Einnahmen;Rechnungsergebnis;0
